#x,Curve1,Curve2
201.98,0.0791497,0.0588288
203.96,0.081294,0.0596363
207.921,0.0823741,0.0612511
209.241,0.0802386,0.0617894
211.881,0.0823847,0.062866
212.541,0.082743,0.0631351
213.861,0.0834595,0.0636734
215.182,0.0834631,0.0642117
216.502,0.0834666,0.06475
217.822,0.0827571,0.0652883
218.482,0.0824024,0.0655574
220.462,0.0813381,0.0663649
225.743,0.0804016,0.068518
228.383,0.0799333,0.0674556
232.343,0.0792309,0.0650597
233.663,0.082443,0.0642611
234.983,0.085655,0.0646925
240.264,0.0888777,0.0664178
242.244,0.0878135,0.0670648
246.865,0.0856868,0.0685745
248.845,0.0878311,0.0708525
250.165,0.0910432,0.0723712
253.465,0.100678,0.0761679
258.086,0.125289,0.0814833
259.406,0.128501,0.083002
261.386,0.130645,0.08528
262.706,0.130649,0.0867987
263.366,0.130651,0.0876232
267.327,0.129592,0.09257
269.307,0.131736,0.0950434
270.627,0.134948,0.0966923
271.287,0.136554,0.0975168
271.947,0.13816,0.0984098
273.267,0.141372,0.100196
274.587,0.144584,0.101982
275.248,0.145834,0.102875
277.888,0.150832,0.10716
278.548,0.152082,0.11037
280.528,0.151017,0.113584
282.508,0.153162,0.116798
284.488,0.155306,0.120012
287.129,0.160661,0.124297
288.449,0.163873,0.12644
290.429,0.166017,0.129654
290.429,0.166017,0.129654
292.409,0.169231,0.132867
293.729,0.171374,0.13501
295.05,0.174586,0.137153
296.37,0.176015,0.139295
297.03,0.17673,0.14001
298.35,0.176734,0.141439
300.99,0.176741,0.144655
301.65,0.176742,0.145192
303.63,0.177817,0.146801
305.611,0.178281,0.147876
308.251,0.178899,0.149594
308.911,0.179329,0.150024
314.851,0.183195,0.148727
316.832,0.1832,0.148295
318.812,0.182136,0.147863
323.432,0.17894,0.146854
326.733,0.17467,0.146134
328.053,0.172535,0.145846
330.033,0.169332,0.145413
333.993,0.165064,0.144549
335.974,0.164,0.144117
343.234,0.165089,0.142532
345.215,0.166164,0.1421
350.495,0.1619,0.140947
352.475,0.158696,0.140515
353.795,0.156561,0.139805
354.455,0.15641,0.13945
358.416,0.155504,0.137055
359.736,0.154896,0.136256
365.677,0.152162,0.134133
367.657,0.15125,0.133737
370.957,0.147917,0.133077
372.937,0.145917,0.133083
373.597,0.145206,0.133084
376.238,0.142361,0.133092
376.898,0.141649,0.133307
378.878,0.143794,0.133954
379.538,0.144509,0.13417
380.858,0.145938,0.134886
381.518,0.146368,0.135245
387.459,0.150234,0.142961
401.32,0.150271,0.160966
