#x	3.6	-e	+e
3.39189	0.0594245	0.0224589	0.0985604
3.40927	0.0601615	0.0213016	0.100215
3.40983	0.0601854	0.0212641	0.100269
3.47607	0.062994	0.0168539	0.106574
3.48515	0.063379	0.0173485	0.107438
3.55327	0.0662674	0.0210592	0.113922
3.56103	0.0665965	0.021482	0.113767
3.63689	0.0682098	0.0256143	0.112255
3.65316	0.0682117	0.0265005	0.111931
3.71333	0.0682188	0.0233452	0.110732
3.72116	0.0682197	0.0229346	0.110314
3.738	0.0674195	0.0220514	0.109413
3.80534	0.0626147	0.0185198	0.105812
3.84805	0.061716	0.0162802	0.103529
3.88115	0.0610193	0.014544	0.103819
3.89734	0.0601645	0.013695	0.103961
3.95693	0.0570176	0.0158828	0.104484
4.00694	0.0598774	0.0177187	0.104922
4.03345	0.0613932	0.0168038	0.105155
4.04127	0.0618404	0.0165339	0.105992
4.09958	0.0646212	0.014521	0.112235
4.10813	0.0650289	0.0233456	0.11315
4.10872	0.0650569	0.0233642	0.113213
4.13407	0.0698727	0.0241711	0.115926
4.16847	0.0711043	0.0252664	0.119609
4.20151	0.0722871	0.0263182	0.121598
4.23459	0.0740388	0.0273712	0.123589
4.2774	0.0763067	0.0339614	0.126166
4.31964	0.0835309	0.0404614	0.128708
4.3287	0.084681	0.0418572	0.129254
4.37028	0.089954	0.0482567	0.136524
4.41192	0.0970761	0.0546648	0.143804
4.41252	0.0971783	0.0546649	0.143908
4.46316	0.103601	0.0546709	0.152764
4.5138	0.109222	0.0546768	0.161617
4.53988	0.110328	0.0546799	0.166177
4.58968	0.11244	0.0546858	0.172143
4.63943	0.115075	0.0546917	0.178102
4.66558	0.116459	0.0569894	0.181235
4.71621	0.12208	0.0614395	0.1873
4.76777	0.127687	0.0659707	0.193477
4.77529	0.128504	0.066631	0.194223
4.84275	0.132523	0.0725601	0.200923
4.85878	0.133478	0.0739689	0.202515
4.91022	0.136542	0.0741878	0.207624
4.96087	0.142965	0.0744034	0.212654
4.96185	0.142975	0.0744076	0.212751
5.03672	0.143776	0.0747263	0.213629
5.0526	0.144617	0.0747939	0.213815
5.11261	0.147796	0.0827836	0.214519
5.13702	0.148831	0.0860338	0.214805
5.18849	0.151013	0.0871702	0.215409
5.2466	0.152863	0.0884531	0.21609
5.26436	0.153428	0.0878913	0.216298
5.30738	0.152263	0.0865306	0.216803
5.32332	0.151831	0.0860264	0.216973
5.3982	0.149463	0.0836582	0.217774
5.39912	0.149434	0.0836988	0.217784
5.4413	0.152647	0.0855557	0.218235
5.50781	0.155467	0.0884839	0.218946
5.51718	0.155865	0.0879269	0.219046
5.59294	0.150259	0.0834248	0.219856
5.61077	0.149199	0.082365	0.220047
5.66029	0.146256	0.079422	0.220053
5.74457	0.147068	0.0744137	0.220063
5.77723	0.147072	0.0724729	0.220067
5.813	0.147076	0.0737864	0.220071
5.82041	0.147077	0.0740581	0.220063
5.88682	0.148349	0.0764966	0.219997
5.90469	0.148691	0.076286	0.219979
5.98894	0.147899	0.0752933	0.219894
6.02162	0.146865	0.0749082	0.219862
6.06474	0.145502	0.0698339	0.219818
6.14054	0.142302	0.0609155	0.219743
6.16463	0.141846	0.0580801	0.219718
6.22478	0.140708	0.0575782	0.219658
6.30904	0.140717	0.0568751	0.219574
6.38485	0.139122	0.0562424	0.219498
6.46911	0.13833	0.0555394	0.219413
6.51964	0.136732	0.0551177	0.219363
6.52923	0.137075	0.0550377	0.219353
6.54377	0.137595	0.0549163	0.220289
6.58708	0.139146	0.0574963	0.223078
6.65456	0.143967	0.0615156	0.227422
6.6787	0.14499	0.0629536	0.228976
6.73044	0.147184	0.0609885	0.232308
6.76292	0.148733	0.059755	0.234398
6.84128	0.152469	0.0664305	0.239443
6.84849	0.152813	0.0670447	0.239983
6.91597	0.157634	0.0727932	0.245033
6.92321	0.158225	0.0734103	0.245575
7.03407	0.167274	0.0811548	0.253871
7.10155	0.172094	0.0858688	0.258921
7.17744	0.176114	0.0911706	0.2646
7.19556	0.178125	0.092436	0.265956
7.22808	0.181735	0.094708	0.270636
7.27029	0.187355	0.0976568	0.27671
7.31247	0.190568	0.100603	0.28278
7.36311	0.196992	0.104141	0.290068
7.40534	0.203414	0.107091	0.296144
7.42928	0.206451	0.108764	0.299591
7.45598	0.209837	0.112687	0.303433
7.49822	0.217061	0.118892	0.30951
7.50796	0.218297	0.120324	0.310912
7.54886	0.223484	0.126334	0.311816
7.60792	0.228304	0.135011	0.313119
7.6838	0.231521	0.146161	0.314795
7.70793	0.232799	0.149706	0.315327
7.72711	0.233815	0.149781	0.315751
7.75969	0.235541	0.149909	0.318508
7.844	0.23876	0.15024	0.325644
7.91859	0.241923	0.150533	0.331957
7.91988	0.241977	0.150655	0.332066
7.97893	0.246797	0.156276	0.337064
8.03799	0.252419	0.161898	0.342063
8.09706	0.258041	0.16752	0.347061
8.10674	0.258451	0.168442	0.347881
8.12953	0.259418	0.170611	0.348261
8.17294	0.261258	0.172175	0.348985
8.25722	0.262872	0.175211	0.35039
8.30059	0.263795	0.176773	0.351113
8.33308	0.264486	0.177944	0.349906
8.41733	0.263693	0.180979	0.346776
8.4943	0.264435	0.183751	0.343916
8.50161	0.264506	0.184014	0.344149
8.57635	0.267675	0.186707	0.346529
8.57749	0.267723	0.186813	0.346565
8.66179	0.270139	0.194702	0.349249
8.67133	0.270918	0.195594	0.349552
8.72084	0.274959	0.200227	0.354163
8.77991	0.281383	0.205755	0.359664
8.83897	0.287005	0.211282	0.365164
8.89804	0.292627	0.216809	0.370664
8.95711	0.299051	0.222337	0.376165
9.01617	0.304673	0.227864	0.381665
9.05944	0.308792	0.231913	0.385694
